Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,08-20,09-03,09-17,10-01,10-15,10-29,11-12,11-26,12-10,12-24,01-07,01-21,02-04,02-18,03-04,03-18,04-01,04-15,04-29,05-13,05-27,06-10,06-24,07-08,07-22,08-05,08-19
2021,INDIANA,18,Whitley,"8,400","7,200","1,200",3399.3624,2913.7392,485.6232,0.142857143,0.6999977330509963,0.40314591154016954,0.13352964791216856,0.2457741057852783,0.3139054900576786,0.01159757716592266,0.4063622253917716,0.007833919259146333,0.08805302753379288,0.001856680240639134,0.024616446226880875,-0.006789627186769902,-0.0037977475343051563,0.02409541335211343,0.4685923031028008,0.0061192484436746065,0.18683406033371422,0.5561374987742312,0.09298672876194042,0.275794434612204,0.3774237599349279,0.1540390910882015,0.2468260020776276,0.04074783938659025,0.2944146426730766,0.41656263218564277,0.38342586169530407
2021,INDIANA,18,Benton,"2,400","2,030",370,971.2464,821.51258,149.73382,0.154166667,0.4446688587696145,0.3046368297981792,0.22922276987271328,0.01125841988875301,0.009571217023233783,0.2378283797131026,0.3569905183558911,0.029554024812186955,0.14485924823005825,-0.002850408046436959,0.015259922505378302,-0.0016762937388304308,-0.007180578703190807,0.4588119503261572,0.013332816866484142,0.03440275447214255,0.5502345559163268,0.8091159737927379,0.8040840689235901,0.03408725773891585,0.5432920043105954,0.10725691228918416,0.19838804650557293,0.34806364727555283,0.26819316431367757,0.3261775124258239,0.43049813722424685
2021,INDIANA,18,LaPorte,"6,600","2,900","3,700",2670.9276,1173.5894,1497.3382,0.560606061,0.4335776633147401,0.2885291492406183,0.177782887176766,-0.012732311316662644,-0.006232588877423812,0.32464910059325464,0.2320084625851366,0.023103723453883857,0.160600986510077,0.008215575916362496,0.016032864363661102,-0.0010419103495895247,-0.0009812267809742646,0.24102472597673227,0.014275994254474872,0.03058206919701733,0.5748922823953848,0.5017388072233105,0.04498695449629938,0.3195526462372664,0.33212083715422497,0.10257528735729014,0.290921848396149,0.2828557704102856,0.2860670701732135,0.5945330167447186,0.6685586417758571
2021,INDIANA,18,Lake,"2,200","1,500",700,890.3092,607.029,283.2802,0.318181818,0.37133976585854567,0.020538626796605744,0.2637693300858411,-0.004206584091666109,-0.006847314531289734,0.36300630458472705,0.3342668466422257,0.010545973732273277,0.11634126416907771,0.01302160012467459,0.04150352687734769,0.021533611904650217,-0.0093436228591976,0.34877887925263057,0.008211010357763008,0.04596198267052464,0.05404065183992169,0.6529456865469244,0.03217332057299171,0.5251008505011636,0.6859854958938233,0.40292124286507625,0.286435440424067,0.24265613558714993,0.29324584717474167,0.17876930285272533,0.4854493890523525
2021,INDIANA,18,Porter,"2,100","1,760",340,849.8406,712.24736,137.59324,0.161904762,0.45748245535048826,0.3307172129079412,0.20366044335550892,0.008428498380263248,-0.008778978255491511,0.33958018021123115,0.3308539627750657,0.01267668191829082,0.15679675400112164,0.007940286843161328,0.014984686352815826,-0.00023376542067214234,0.003289925553291372,0.3034398883949631,0.003054460413756291,0.03958112609079792,0.4956612125545397,0.5486752830519234,0.06722160708488448,0.4210258443576658,0.38148780347883104,0.07154584513264468,0.28602277261397446,0.25969858152662834,0.33476803586749915,0.507190063776018,0.5766629684823633
2021,INDIANA,18,Harrison,"2,800","1,200","1,600",1133.1208,485.6232,647.4976,0.571428571,0.7540817525030125,0.723547976419963,0.2667157083983569,0.16412294475185926,-0.007755256197124143,0.32591438903386505,0.22737972707585824,0.01706669977955875,0.33915519965191077,-0.0021994962484948068,0.015552195569785179,0.0064930762741510105,0.025998123973651928,0.009090673739839421,0.06398917362837869,0.43448906766289846,0.8017050302926081,0.8115333988272562,0.7847955200941704,0.5457023768214603,0.09717888113877769,0.014085886211938261,0.19615503377625942,0.2454265794860223,0.05922644531640832,0.08898533587742584,0.13032877294303546
2021,INDIANA,18,Washington,"2,100","1,300",800,849.8406,526.0918,323.7488,0.380952381,0.7871437138351551,0.7423261041300596,0.4588748424051784,0.24869207486085484,0.28148080438062584,0.3132435499136567,0.47338771939888014,0.022212723312746468,0.3849155175439955,-0.017350169209240002,0.02391668066606573,0.008899357291812208,0.0012471986241725944,0.034359787109771056,0.059264879550679696,0.2880703802288873,0.8160609635854126,0.7980984072329482,0.8086772784537014,0.45061532033483315,0.24717218013764147,0.004481953101239061,0.36932259808748663,0.28458728561177865,-0.027308093348557626,0.016352004972770923,-0.028946584499804983
2021,INDIANA,18,Dearborn,700,600,100,283.2802,242.8116,40.4686,0.142857143,0.22135031119870768,0.5664575212653019,0.30821071558755575,0.12022182046274718,-0.01122719165668082,0.29973828971279554,0.29641926079695785,0.015685219696546737,0.01622660079115806,0.03714352043666638,0.29767965710872807,0.011686815402893071,0.01018746823855673,0.024908724083823566,0.013477660643448634,0.49182776222900637,0.08927175791754503,0.7602553474261211,0.01901981027074878,0.6451665075380487,0.05040653822430518,0.005074436251675709,0.2958277080438128,0.3845252669856642,0.3887751956393928,0.1053817364662594,-0.00796812125907921
2021,INDIANA,18,Franklin,"3,200","2,900",300,1294.9952,1173.5894,121.4058,0.09375,0.18792762937287888,0.4402305722380077,0.2581284310973521,0.12426562781882285,0.005113289564436569,0.23648370282620096,0.14683428563292228,0.11103632868806047,0.02116813868354162,0.02471800086326145,0.16915852957883892,0.011712933562832577,-0.0014019064807488147,0.028133947241264654,0.023586475684852136,0.3925412902610248,0.30589779238797155,0.7977651143529528,0.08069230141035819,0.6670569694276915,0.07739153278855995,-0.0034544595662025952,0.264018315374412,0.2773638919689261,0.2816040603187987,0.10837104046947575,0.03402593409505888
2021,INDIANA,18,Jefferson,"2,100","1,390",710,849.8406,562.51354,287.32706,0.338095238,0.48884575981315914,0.7387887097548166,0.12957255792191733,0.21352317288701148,0.17772387094647327,0.2600955716302027,0.26551588387592295,0.0031688222864636245,0.18131183644003795,0.1695916415553202,0.1978596509453026,0.011238127516711176,0.031412259301108435,0.00840150744277956,0.03100529992296245,0.35486320881720207,0.527530675866233,0.7612073485456583,0.49294331651934725,0.40669150514825847,0.06070021643243619,0.011854906846959645,0.34294698122985734,0.1669092377605308,0.1673755517536426,0.08993002858467494,-0.011051565946491171
2021,INDIANA,18,Jennings,"4,200","3,200","1,000",1699.6812,1294.9952,404.686,0.238095238,0.7055608641454868,0.5453712200103924,0.25653681317051275,0.19229500835182367,0.26223802620790143,0.2943853684386365,0.3756236080458101,-0.0076230215520298825,0.42742044429787,-0.026134404655618365,0.031517618076770434,0.009334713130748946,0.0022656341804061938,-0.002549878808590578,0.08123467544387741,0.11875516391340267,0.668662464173957,0.8044433403380424,0.7527605192579653,0.20748342447704665,0.13934239622349875,-0.028750229573806393,0.2595725824488583,-0.010063094708454757,0.021558376729027332,0.18932975724974352,0.024901694383135817
2021,INDIANA,18,Ripley,"4,300","3,600",700,1740.1498,1456.8696,283.2802,0.162790698,0.24505744677669525,0.5820174808275926,0.20873067483513055,0.18434887958213697,0.01596641004150438,0.27965046536204863,0.2813033802748339,0.023794519013679988,0.04879396565542538,0.08655263337556111,0.2859473242767448,0.011647147633537731,0.006721614271799421,0.02242780974678945,0.023790570503029063,0.5080874031839957,0.12755021586904197,0.7718328065861679,0.09426378483320692,0.5484872175452983,0.06325524724501423,-0.017047459862794306,0.24955088319912888,0.3117060304137093,0.341341551368835,0.0994754115844672,-0.006328442443027039
2021,INDIANA,18,Switzerland,900,800,100,364.2174,323.7488,40.4686,0.111111111,0.09446251269592225,0.6514185100453366,0.13783699256581095,0.027782353226038767,-0.010121533840952927,0.14167441826100638,0.3528234334798222,0.0009477205571334339,0.006794784414802227,0.24379602844766035,0.5569978140798928,0.01559017144279339,0.03174462312365519,0.018871713340794117,0.01548708251883078,0.5093753315447387,0.2500373867742775,0.7664571285925114,0.02446111967065793,0.3308969756333146,0.05901203243639448,0.015648849470889608,0.31561897774160474,0.4928434159656415,0.5008595142265871,0.17105546445834297,-0.02258023774461752
2021,INDIANA,18,Daviess,"2,100","1,270",830,849.8406,513.95122,335.88938,0.395238095,0.8429560634245525,0.6718224017664409,0.31106438866480784,0.1388156044532365,0.02919679541128234,0.2680699886665716,0.42974683274023545,0.03542518845228943,0.13640663873346298,-0.0014976274829074515,0.014435650869262129,0.00538108941068411,-0.002083410415639982,0.23545082296789377,0.030725974064793125,0.06168879094422834,0.8099525936641929,0.7640817787352786,0.6935664957102298,0.07821505361060645,0.11715189233574771,-0.040873993499438314,0.31015738761377004,0.44693167902468267,0.4753729804355913,0.3100190905599187,0.042636750030077726
2021,INDIANA,18,Dubois,"4,800","2,640","2,160",1942.4928,1068.37104,874.12176,0.45,0.6841085659506098,0.6650743335109427,0.32221013553137207,0.23625747806278685,0.09974850559212839,0.331444369474652,0.4116435268439407,0.05452461102982397,0.08346041765945783,-0.014781188728447081,0.006770870519951426,0.010590548990328933,-0.0032575483975880557,0.09345973649650993,0.04975061526048596,0.21509717724887975,0.7165429304576282,0.747543480169636,0.7651806540948559,0.5119431520144905,0.3159860497334254,0.06912445109968879,0.22272118218042966,0.21543837320607467,-0.022682018238021337,0.1467780409503581,0.03593903796601649
